18409|R 35 REG V42|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18410|R 35 REG V43|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18411|R 35 REG V44|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18412|R 35 REG V45|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18413|R 35 REG V46|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18414|R 35 REG V47|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18415|R 35 REG V48|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18416|R 35 REG V49|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18417|R 35 REG V50|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18418|R 35 REG V51|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18419|R 35 REG V52|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18420|R 35 REG V53|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18421|R 35 REG V54|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18422|R 35 REG V55|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
18423|R 35 REG V56|REGIMEN DE LA ADMINISTRACION PUBLICA||4|ADMINISTRACION PUBLICA|CIENCIA DE LA ADMINISTRACION||1984||
